REFCODE,M,K_0,DeltaH,r2,iso_enth
ABEXUC_clean,2.7779518934073355,3.704138429628069e-05,-19176.858845785584,0.9967189288193752,-18359.167002517956
ABEXOW_clean,2.795456658172198,3.2155591446501664e-05,-19374.68540641549,0.9988604683680449,-18812.44986131853
ABEXIQ_clean,3.0866896809258093,2.0924760682992248e-05,-20382.185247123733,0.9969214625608647,-18594.07768011379
ABAVIJ_clean,1.3554593963166661,-18.272581698959257,-144302.79352838473,0.0,-24712.222281159633
ABUWOJ_clean,6.814578848738004,4.211406863834171e-05,-19758.34082618366,0.9995826966813307,-19719.507118062444
ABEYAJ_clean,2.7525513685994016,3.806357290451088e-05,-18826.449248813118,0.9976075251308157,-14470.056917626302
ACALIB_clean,1.6567334385064738,1.0276864688971783e-05,-21518.768640458344,0.9985679432117752,-20857.988178371743
ACAKUM,2.1461321466091103,-48.47834336163958,-111882.93151387063,2.220446049250313e-16,-25921.751115835385
ACUBAB_clean,1.9454992696057634,0.00021501722625136524,-13910.468451707784,0.9995755248761854,-14102.859750128213
ABEYIR,2.4230187853255503,2.1561500290706302e-05,-20358.08683165401,0.9973932276388773,-17400.63863295947
ACODED,4.942034463190606,9.165087078854768e-05,-18447.55078904916,0.9995519741825349,-17890.705226240043
ACOLIP_clean,5.152030084919479,3.4939320702605536e-05,-20494.183038739324,0.9985031509855933,-19219.505846050957
ADAXEK_clean,4.026822865350039,7.863508434865575e-05,-18753.967641779647,0.9991188004429782,-18243.021665224707
ACOLUB_clean,6.289160082073282,9.312636639758609e-05,-16099.87322797939,0.9997998102257533,-15778.096342388511
ADABAK01_clean,1.9131425804604538,9.753962905627596e-06,-20400.30338571236,1.0,-3268458.159140548
ACUTOI_clean,2.1454157458894287,8.106682404436863e-05,-18963.895504909087,0.9981589126002693,-18490.28168361238
ADABAK,2.1980704666759356,0.00017684836663170125,-15801.542311788697,0.9857051184100143,
ADABUE_clean,2.0763175058832863,3.349084702418719e-05,-19406.462637393506,0.9896020703243588,
ADOBOL_clean,2.2527065254771053,4.4135935869525475e-05,-18628.36151378258,0.9994511674730844,-17831.87930193331
