REFCODE, lcd, pld, density, surface_area_m2g, void_fraction, pssd, psd_density_1.00_2.19, psd_density_2.19_3.39, psd_density_3.39_4.58, psd_density_4.58_5.78, psd_density_5.78_6.97, psd_density_6.97_8.17, psd_density_8.17_9.36, psd_density_9.36_10.56, psd_density_10.56_11.75, psd_density_11.75_12.95, psd_density_12.95_14.14, psd_density_14.14_15.34, psd_density_15.34_16.53, psd_density_16.53_17.73, psd_density_17.73_18.92, psd_density_18.92_20.12, psd_density_20.12_21.31, psd_density_21.31_22.51, psd_density_22.51_23.70, psd_density_23.70_24.90
ABAVIJ_clean, 4.45543, 2.4972, 1.52493, 1887.88, 0.16688, 0.5058376011510726, 0.0021060908146359274, 0.08203725173200897, 0.5235140024952164, 0.22916273864014727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABAVOP_clean, 3.53642, 2.44162, 1.56594, 1786.94, 0.14884, 0.19934835540011603, 0.0017991294462392012, 0.02923585350138702, 0.8057851007343826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABEXIQ_clean, 4.80529, 4.06893, 1.7876, 1958.88, 0.2705, 0.6330928655760504, 0.003588581504884029, 0.029265500893278375, 0.09645859596748627, 0.7075074053163596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABEXOW_clean, 4.7727, 4.04921, 1.81243, 1920.58, 0.26696, 0.6361635828916563, 0.0030719346793840587, 0.030782039338317815, 0.09736152157313152, 0.7056045880911749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABEXUC_clean, 4.74458, 4.0168, 1.84813, 1880.06, 0.26456, 0.6319385711407428, 0.004175243840566416, 0.02928996815427653, 0.1071645919078714, 0.6961902797792938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABEYAJ_clean, 4.73097, 3.9715, 1.90641, 1812.84, 0.25716, 0.6123231661195093, 0.0032540833865375976, 0.026162830427762282, 0.1242409036980055, 0.6831622661697029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABEYIR, 4.69489, 3.91955, 1.96962, 1747.92, 0.2566, 0.6207360137774414, 0.004826553873146425, 0.026741717405270732, 0.13755678538467317, 0.667695027018918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABIYIV, 4.33176, 3.82431, 1.34661, 2802.99, 0.19944, 0.8524398357109069, 0.031301032010969634, 0.10758156310472673, 0.30722004877254655, 0.39071743979376555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ABUWOJ_clean, 5.07969, 4.03039, 1.15833, 3542.8, 0.40572, 0.33584275185982415, 0.0, 0.0024338156826007344, 0.02392564569336316, 0.8104606223060442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ACAKUM, 4.47083, 3.0099, 1.59028, 1959.32, 0.20092, 0.43280637814059264, 0.008329883373302892, 0.012411526226221308, 0.30895537431580433, 0.5071232997666798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
