REFCODE,M_1,M_2,K_0_1,K_0_2,DeltaH,r2,iso_enth,p_thres
ABEXUC_clean,1.543251167967568,2.7779518934073355,7.54965594097582e-06,-1286945.435,-33527.96848,0.9902162050572316,-36425.27101,2
ABEXOW_clean,1.4879596755351916,2.795456658172198,2.619775324702186e-07,0.000306471,-41681.41056,0.9679255654190596,-46563.29957,2
ABEXIQ_clean,1.3351046516357743,3.0866896809258093,1.389811802423599e-07,4.889418232686279e-05,-42552.03817,0.9877505477401554,-47286.49237,4
ABUWOJ_clean,3.4728847346771934,6.814578848738004,3.576381238924356e-07,2.5562651532911075e-05,-34369.35857,0.9886706813786228,-40154.96245,20
ACALIB_clean,2.3674592151101903,1.6567334385064738,9.693771983712985e-08,2.829489820157575e-09,-50025.39917,0.9599063357521416,-51004.9154,8
ACUBAB_clean,0.7142121390545652,1.9454992696057631,9.864825675303962e-06,1.3849049674077129e-05,-27504.30694,0.997686202,-27293.21335,20
ABEYIR,1.6390591930227796,2.4230187853255503,3.073633150821701e-07,182.79357917115135,-42021.346,0.9101574488376124,-48925.32957,12
ACODED,3.4828089818273535,4.942034463190606,1.974811616870425e-07,1.813175086635978e-06,-37581.63317,0.998297445,-34623.64563,2
ACOLIP_clean,3.4954385463495505,5.152030084919479,3.949387214505611e-07,2.7775225349805815e-06,-36823.67611,0.9986808193278428,-36814.02043,2
ADAXEK_clean,3902.4493567374657,4.026822865350039,4.425324708980939e-10,2.3926390571572897e-05,-30910.92479,0.9958377025822948,-32394.11508,2
ACOLUB_clean,2.456316670351201,6.289160082073282,8.223338867485002e-06,8.224354096327651e-06,-28921.66517,0.9970474457617792,-28436.75832,8
ACUTOI_clean,0.8571193139175272,2.1454157458894287,9.55943245282384e-07,4.3104833149091525e-05,-34986.98806,0.9728896247137946,-38404.63811,2
ADOBOL_clean,1.3769135499249234,2.2527065254771053,1.1072577734257344e-06,1.912969099700594e-05,-31312.64948,0.9971802324312966,-33272.86501,12
ADOBAX,1.408283643681636,2.4872721346904942,6.155434419945021e-07,1.289223009937798e-05,-31486.72455,0.9981469773527434,-30548.60798,20
AFOTUL_clean,5.078748207,6.8834836287759655,1.2210450480485424e-06,3.4130243109970536e-05,-29580.25122,0.9918616896357044,-28959.39981,20
AFOVAT_clean,4.336337497150044,7.614338512203739,3.6664208568871154e-06,0.000102245,-26862.60648,0.9953775891610674,-30174.51596,20
AFIXAO_clean,3.4210730886116933,4.151996357255769,1.326416639704145e-06,1.5953161867018512e-05,-27816.77289,0.9986862906015508,-27356.02645,12
AFOVIB_clean,4.493864478605816,6.916863556657518,3.908144409098971e-07,7.94099496096334e-06,-32569.68121,0.9956903330529264,-32095.50051,12
AFUPEX_clean,1.4378880286174605,7.701067199600782,153401.5681,0.002952222,-22203.72552,0.8163672386616521,1,20
AGUWUV_clean,1.9355482610951216,2.716781193303867,1.8668897087422975e-06,5.522218003443125e-05,-31866.13146,0.9880395476600772,-42834.16497,4
AFOQUI_clean,-0.157648469,2.251924816452236,-121080.7672,3.7071713314565018e-06,-38140.62077,0.9528987844350352,-31481.12301,2
AJAYIT_clean,1.2501825215378712,1.9032917096498565,1.495975527079885e-06,2.722751995783808e-05,-29199.13545,0.9954648498683012,1,20
AHINIP_clean,1.5027846659468822,1.406492808002197,2.356532265310857e-07,5.140360629910399e-06,-38061.59036,0.9891017870257496,-37236.91062,4
AGAXOV_clean,6.216882209299768,11.93142872656708,3.080949370905554e-06,3.0809836347879244e-06,-28046.22799,0.9965301233538356,-26028.20656,20
ALUJOH_clean,2.473283413,4.846890056591792,6.467980941523746e-07,0.000261078,-32589.30841,0.9651336412324284,-36437.497,20
ALIXUP_clean,1.378632649047407,5.358918005585262,-579019.129,2.631309058364361e-09,-46379.18005,0.9481850291481602,-29618.25581,4
ALAMUW_clean,15.189267083738908,16.52073420908719,1.1184908818552791e-05,1.1184904681943112e-05,-23799.65698,0.9926221947742604,-23558.49999,12
AMAFOK_clean,1.4070424673659334,2.2933350009634728,1.528367188640904e-06,2.0963139806945273e-05,-29950.17665,0.997638584,-30805.89411,8
AMIXAW_clean,1.0762206640311756,1.791918247098963,-962.903356,245.7015935811057,2083.031326,0.8679827033566375,-1998.327228,2
ALULID_clean,8.550386011138736,9.070337911,6.832739682044583e-05,0.002801946,-18203.83184,0.973789374,-26713.17743,12
AMILUE_clean,6.413275510667115,5.092928384205245,1.9940694124960937e-06,5.826557178306715e-07,-31118.99106,0.9938035751849978,-27573.96065,20
AMIMEP_clean,6.324948934001005,5.063756199568973,2.148656410369173e-05,2.7373036453990216e-06,-26601.87037,0.987819046,-25659.7605,20
AMIXEA_clean,1.0901719349862915,1.763789640409828,4.720364255384377e-06,-5006228948,-38296.53864,0.8190580985753152,-38296.53864,12
ALULAV_clean,1.5795897988935943,27.815458408832686,-2.14767E+12,1.0451159115610104e-05,-25533.14869,0.9859634828759428,-25533.14869,20
ANENEN_clean,1.3742191823251018,3.108977343220957,1.83899510707702e-08,1.5704524759053155e-06,-43022.89048,0.992417191,-39324.97704,8
APEBED_clean,0.00478425,2.2398538646886075,-899.2549363,5.462293273736331e-06,-37156.42319,0.9965537720074148,-37994.54662,2
ALUKIC_clean,1.719475799252382,47.76637448065732,-889497.7529,7.012114792956145e-05,-18136.23448,0.9584735615852982,1,12
ANUGUM_clean,9.014330131468316,17.06820163540571,8.62396611956458e-06,8.62410036396363e-06,-25699.69624,0.9927510582368576,-25671.72243,20
AMUXAI_clean,4.057990643699792,6.2686059582260185,9.212160096099766e-06,9.212520623949096e-06,-25441.77481,0.9987556050064657,-26128.79126,8
AQETUM_clean,2.435820106,2.7864165060316957,1.545299962399375e-06,1.2576905467618123e-05,-29200.70958,0.9991004827695904,-29629.15302,4
AQUCOF_clean,-0.665694874,9.228679103943325,74317420367,9.513844094920808e-05,-21947.04242,0.908794565,-21947.04242,2
ASACON_clean,1.7024085293414029,2.0482272653230074,1.976578714366324e-06,2.011956920032707e-05,-30566.40214,0.9979791525490058,-31704.99809,2
AQUDAS_clean,-0.137462706,9.573830871,1953130533.6436088,6.927241797701316e-08,-39023.92043,0.9672519119667922,-22456.51804,4
