REFCODE,M,K_0,Delta_H_N2,r2
ABEXUC_clean,2.777951893,3.70E-05,-19176.85885,0.996718929
ABEXOW_clean,2.795456658,3.22E-05,-19374.68541,0.998860468
ABEXIQ_clean,3.086689681,2.09E-05,-20382.18525,0.996921463
ABUWOJ_clean,6.814578849,4.21E-05,-19758.34083,0.999582697
ABEYAJ_clean,2.752551369,3.81E-05,-18826.44925,0.997607525
ACALIB_clean,1.656733439,1.03E-05,-21518.76864,0.998567943
ACUBAB_clean,1.94549927,0.000215017,-13910.46845,0.999575525
ABEYIR,2.423018785,2.16E-05,-20358.08683,0.997393228
ACODED,4.942034463,9.17E-05,-18447.55079,0.999551974
ACOLIP_clean,5.152030085,3.49E-05,-20494.18304,0.998503151
ADAXEK_clean,4.026822865,7.86E-05,-18753.96764,0.9991188
ACOLUB_clean,6.289160082,9.31E-05,-16099.87323,0.99979981
ADABAK01_clean,1.91314258,9.75E-06,-20400.30339,1
ACUTOI_clean,2.145415746,8.11E-05,-18963.8955,0.998158913
ADOBOL_clean,2.252706525,4.41E-05,-18628.36151,0.999451167
ADOBAX,2.487272135,6.82E-05,-17598.22498,0.99940978
AFOTUL_clean,6.883483629,7.03E-05,-17474.30495,0.999538164
AFOVAT_clean,7.614338512,0.00010072,-16228.70875,0.999187651
AFIXAO_clean,4.151996357,0.000130352,-15651.57386,0.999448511
AFOVIB_clean,6.916863557,7.11E-05,-17320.00599,0.999296397
AFUPEX_clean,7.7010672,5.40E-05,-17611.35104,0.999582147
AGUWUV_clean,2.716781193,3.90E-05,-18634.56603,0.998327166
AFOQUI_clean,2.251924816,7.95E-05,-17536.1236,0.997980215
AJAYIT_clean,1.90329171,3.89E-05,-19820.97719,0.996581396
AHINIP_clean,1.406492808,2.47E-05,-22250.00473,0.996907149
AGAXOV_clean,11.93142873,0.00018412,-12151.91983,0.999421777
AHUTIH01_clean,3.596595894,2.55E-05,-17709.2052,0.997653718
ALUJOH_clean,4.846890057,3.92E-05,-19583.26442,0.99880089
ALIXUP_clean,5.358918006,8.23E-05,-12867.62034,0.998409981
ALAMUW_clean,16.52073421,0.000231606,-11360.06833,0.999847946
AMAFOK_clean,2.293335001,0.000167475,-17182.14639,0.998882058
ALULID_clean,9.070337911,9.97E-05,-15690.43876,0.998134746
AMILUE_clean,5.092928384,0.000240991,-14241.3443,0.997156027
AMIMEP_clean,5.0637562,0.000223796,-14376.65932,0.996346915
AMIXEA_clean,1.76378964,9.58E-06,-26975.45335,0.996900784
ALULAV_clean,27.81545841,0.000177484,-10522.79724,0.999922848
ANENEN_clean,3.108977343,4.40E-05,-19780.26933,0.99667978
APEBED_clean,2.239853865,5.05E-05,-20052.69141,0.998326452
ALUKIC_clean,47.76637448,0.000118776,-10129.41897,0.999734422
ANUGUM_clean,17.06820164,0.000147422,-12934.58829,0.999899036
AMUXAI_clean,6.268605958,0.00022526,-12010.87348,0.999248352
AQETUM_clean,2.786416506,0.000168488,-12675.1492,0.997381035
AQUCOF_clean,9.228679104,0.000154897,-12325.22123,0.999816235
ASACON_clean,2.048227265,0.000132843,-16804.98443,0.998860582
AROFAP_clean,5.575966384,5.81E-05,-19637.63111,0.999158596
AQUDAS_clean,9.573830871,0.000195554,-11663.5809,0.999847036
ANUGIA_clean,25.57240089,0.000205039,-10420.64011,0.999652329
AROFET_clean,10.70666109,0.000122643,-14273.79971,0.999706829
ATAFIK_clean,7.587858747,0.000134364,-15137.88914,0.999842958
ATIBOU_clean,2.530799825,7.08E-05,-16264.58086,0.999363265
ATIBAG_clean,2.659120544,7.50E-05,-15998.43392,0.998827293
ATIBOU01_clean,2.470331549,9.76E-05,-15711.0898,0.999599063
ATICAH_clean,2.534307697,0.00012818,-14874.82189,0.999188065
ATIBUA_clean,2.510930078,5.41E-05,-16907.93355,0.998837914
ATICEL_clean,2.474421049,8.56E-05,-15771.68058,0.998560158
ATOXEN_clean,2.327096966,5.53E-05,-19633.05917,0.998594981
