REFCODE, lcd, pld, density, surface_area_m2g, void_fraction, pssd, psd_density_1.00_2.19, psd_density_2.19_3.39, psd_density_3.39_4.58, psd_density_4.58_5.78, psd_density_5.78_6.97, psd_density_6.97_8.17, psd_density_8.17_9.36, psd_density_9.36_10.56, psd_density_10.56_11.75, psd_density_11.75_12.95, psd_density_12.95_14.14, psd_density_14.14_15.34, psd_density_15.34_16.53, psd_density_16.53_17.73, psd_density_17.73_18.92, psd_density_18.92_20.12, psd_density_20.12_21.31, psd_density_21.31_22.51, psd_density_22.51_23.70, psd_density_23.70_24.90,unit_cell_volume
ABAVIJ_clean,4.45543,2.4972,1.52493,1887.88,0.16688, 0.5058376011510726,0.002106091,0.082037252, 0.5235140024952164, 0.22916273864014727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320.38
ABAVOP_clean,3.53642,2.44162,1.56594,1786.94,0.14884, 0.19934835540011603,0.001799129,0.029235854, 0.8057851007343826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.81
ABEXIQ_clean,4.80529,4.06893,1.7876,1958.88,0.2705, 0.6330928655760504,0.003588582, 0.029265500893278375,0.096458596, 0.7075074053163596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602.59
ABEXOW_clean,4.7727,4.04921,1.81243,1920.58,0.26696, 0.6361635828916563,0.003071935, 0.030782039338317815,0.097361522, 0.7056045880911749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572.73
ABEXUC_clean,4.74458,4.0168,1.84813,1880.06,0.26456, 0.6319385711407428,0.004175244,0.029289968, 0.1071645919078714, 0.6961902797792938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546.99
ABEYAJ_clean,4.73097,3.9715,1.90641,1812.84,0.25716, 0.6123231661195093,0.003254083, 0.026162830427762282, 0.1242409036980055, 0.6831622661697029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511.78
ABEYIR,4.69489,3.91955,1.96962,1747.92,0.2566, 0.6207360137774414,0.004826554, 0.026741717405270732, 0.13755678538467317,0.667695027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.63
ABIYIV,4.33176,3.82431,1.34661,2802.99,0.19944, 0.8524398357109069, 0.031301032010969634, 0.10758156310472673, 0.30722004877254655, 0.39071743979376555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4703.28
ABUWOJ_clean,5.07969,4.03039,1.15833,3542.8,0.40572, 0.33584275185982415,0,0.002433816,0.023925646, 0.8104606223060442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4518.16
ACAKUM,4.47083,3.0099,1.59028,1959.32,0.20092, 0.43280637814059264,0.008329883, 0.012411526226221308, 0.30895537431580433, 0.5071232997666798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226.95
ACALIB_clean,3.96462,2.41854,1.78668,1645.61,0.17472, 0.23369589251814948,0.001436848,0.004118963, 0.8312642726868672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087.56
ACODED,6.0825,3.7902,1.13147,2995.87,0.33466, 0.5189947725626392,0.0029506,0.000600122,0.003500712, 0.19643992641504382, 0.6333287240631656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5539.83
ACOLIP_clean,4.91034,3.57647,1.04949,3597.71,0.31844, 0.46827829292342515,0.001051149, 0.011983103823608713, 0.18894411511347955, 0.6348417152867087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527.86
ACOLUB_clean,7.43046,4.98319,1.08434,3121.8,0.38726, 1.1885275179167005,0.002593049, 0.011539067414300276,0.039500778,0.082545389, 0.22983056370505187, 0.47081123749583287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4644.21
ACUBAB_clean,6.47918,4.30437,2.30944,1440.75,0.2922, 1.1091409764801208, 0.025832023117083217, 0.024457370002205176,0.000114554,0.032762566,0.586289553, 0.1673640167364019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622.68
ACUTOI_clean,5.192,4.5372,1.71994,1467,0.20694, 0.5080403874309409,0.00776406,0.010594707,0.006955304, 0.8115060133048487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357.19
ADABAK,3.91876,3.38191,1.63969,2041.11,0.13402, 0.8945116892860728,0.081921202,0.176829912, 0.5780689699095686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225.78
ADABAK01_clean,3.98886,3.26187,1.60778,2252.59,0.15524, 0.8009917715822241,0.028461801, 0.2732979788886745, 0.3465008694864695, 0.1885594339551446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105.82
ADABIS_clean,3.989,3.05238,1.65298,2003.11,0.14406, 0.7140302966739116, 0.011385307260979707, 0.3070547662323405, 0.5183800101886885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103.94
ADABUE_clean,4.54949,3.31506,1.46632,2492.54,0.2141, 0.8502749575216856,0.003908548, 0.26382697640605124, 0.17510294137764593, 0.39398161809970306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244.47
ADAXEK_clean,5.76724,4.10445,1.26343,2579.11,0.30438, 0.6932980361062833, 0.015285891534502815,0.000494867, 0.016220640297404075, 0.13795792035995522, 0.6668607644980219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.647
ADEGIA_clean,4.84442,2.87756,1.59673,2529.05,0.27208, 0.6091880203751969,0.00264505,0.036784652, 0.1281926679207076, 0.6691977132002769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.092
ADIQEL_clean,4.43355,3.91364,1.23763,2977.28,0.25706, 0.2398169500587099,0.001367247,0.004297061, 0.21185813057661687, 0.6192976453733184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953.188
ADOBAX,5.55588,3.76515,1.63796,2162.68,0.25432, 0.6782205283351909,0.002237487,0.003553656, 0.36457874045284117, 0.41544866218028603,0.051001539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4446.68
ADOBOL_clean,5.48974,3.85295,1.71617,2030.62,0.23704, 0.7936805146471341,0.00134151,0.002965444, 0.3867080322583835, 0.4025943399556877,0.043210757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259.51
AFITIT_clean,7.3533,5.37116,1.01683,3281.62,0.34506, 1.1906617019459342,0.003783224, 0.023620899597353397, 0.049957960134032864,0.051704064, 0.34461291917699344,0.363141017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4269.85
AFIXAO_clean,6.3306,4.52097,1.12223,3425.63,0.33588, 0.9693312642259466,0.019981235,0.00672685,0.007972562, 0.25666668161522116, 0.5454727555119057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713.78
AFOQUI_clean,4.25157,3.00568,1.62091,2396.09,0.22646, 0.44038030620992163,0.004582076,0.050550644, 0.6629229135942435, 0.11876445062942569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076.4
AFOTUL_clean,8.80212,6.81408,1.05969,2815.74,0.45382, 1.0790238233531706,0.000258153,0.001807068,0.003761652,0.033854869,0.046283073,0.059264461, 0.5625513885014037, 0.12903941971721594,0,0,0,0,0,0,0,0,0,0,0,0,1600.49
AFOVAT_clean,8.32882,6.54754,1.04077,2934.38,0.44296, 1.086309521019348,0.001133493,0.002153637,0.005440766, 0.045150803684305574,0.050969401,0.071787889,0.660184094,0,0,0,0,0,0,0,0,0,0,0,0,0,1593.02
AFOVIB_clean,8.79334,6.74118,1.0948,2714.04,0.44888, 1.072814369661201,0.000223709,0.00178967,0.004101328,0.036389966,0.044518053,0.055703493,0.58682549, 0.10726837376372916,0,0,0,0,0,0,0,0,0,0,0,0,1570.05
AFOVOH_clean,8.78846,6.84599,1.04816,2847.31,0.45018, 1.105821096052072,0.000223063,0.002267805,0.004944559,0.036916893,0.043869017,0.057066899, 0.5652411280954841, 0.12629072034598524,0,0,0,0,0,0,0,0,0,0,0,0,1598.69
AFOYOK_clean,7.73481,5.71786,0.979448,3284.78,0.4158, 1.0942092477983683,0, 0.012960849780933464, 0.027531743012914573,0.035984471, 0.1334726020918489, 0.5427053962618823,0.084165021,0,0,0,0,0,0,0,0,0,0,0,0,0,2508.04
AFUPEX_clean,5.43312,4.58891,1.38641,2470.18,0.44788, 0.2647052895138654,0,0,0.004073117, 0.5487124278282847, 0.2840345385400975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801.62
AGARUW_clean,6.77693,6.25183,1.77195,1638.57,0.33464, 0.49835210653044165,0.001200316,0.002550671,0.005301394, 0.011753091062949552, 0.1236825285049968, 0.6923320833379187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421.47
AGAXOV_clean,7.04953,5.30517,0.887006,3504.11,0.56252, 0.3734255537092901,0,0,0,0.002558719, 0.2485825143697354, 0.5856788504330639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499.87
AGESIP_clean,3.70848,3.05212,2.26011,1292.23,0.18622, 0.14938790569514795,0,0.009616556, 0.8272035281075296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.382
AGUWUV_clean,4.50011,3.32227,1.51212,2479.39,0.24274, 0.5856324620729819,0.00351634, 0.060605162194651514, 0.4617437670279651, 0.3109548139907602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791.15
AHINIP_clean,5.10577,2.92366,1.25642,2979.69,0.19532, 1.038475857143952,0.050384007,0.082688038, 0.3089876327828511, 0.39476040605396395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044.76
AHOKIR01_clean,4.30721,3.46838,1.92701,1794.19,0.25456, 0.22088688111969998,0,0, 0.5513492474667918, 0.2854708362152168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.967
AHUTIH01_clean,4.18118,3.24781,2.06338,1664.75,0.21204, 0.42201433779859204, 0.014681054099684359,0.009155926, 0.7493652022709858,0.063617901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.46
AHUTIH_clean,4.19485,3.26762,2.04865,1659.28,0.21282, 0.4477046201950147, 0.017222403752124787,0.00636993, 0.6461153846002616, 0.16711236517472675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.59
AJAYIT_clean,7.12611,4.89301,1.98392,1072.27,0.21438, 0.42278403145201376,0.001873653,0,0.001873653,0.008119161,0.009914745, 0.8150388724358782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195.74
AKUHOD01_clean,3.29959,2.84739,2.24008,1882.88,0.17346, 0.4224102842734202,0.001350799, 0.5596167975735787, 0.2758524869418728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.135
ALAMUW_clean,11.92678,5.98269,0.64997,3802.56,0.64608, 1.425460181552431,0,0,0,0.000181332, 0.010361813814784647, 0.023003226668821954,0.08820494, 0.030334209942782058, 0.25427891101481526, 0.4304556504006912,0,0,0,0,0,0,0,0,0,0,5115.55
ALIXOJ_clean,7.8603,5.01976,0.979833,3286.7,0.46774, 1.0711566074003818,0.001180787,0.006548,0.009016918,0.039717377,0.090526994, 0.2538333977697086, 0.43599661006821183,0,0,0,0,0,0,0,0,0,0,0,0,0,3224.33
ALIXUP_clean,6.38387,5.75713,1.33865,2531.89,0.35446, 0.9078280932439198,0.0002833,0.01284292, 0.026394088290822258, 0.13130940883144301,0.511828116, 0.15416225092940025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802.92
ALUJIB_clean,6.08943,4.42337,1.4324,2424.92,0.32788, 0.6042718707936704,0.002807436,0.007452466, 0.015007021142034317, 0.11367563293642993,0.697877527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415.53
ALUJOH_clean,6.14197,4.45081,1.41539,2500.3,0.33586, 0.6221186619258525,0.001943428,0.008770341, 0.016892872528327336, 0.11017740755201096, 0.6990360348890139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5496.43
ALUJUN_clean,4.85152,2.67152,1.33934,3027.86,0.2685,0.635114705,0.00336598, 0.040329429731267005, 0.11444332764545014,0.678681346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.874
ALUKAU_clean,4.78682,2.72791,1.65289,2445.66,0.26514, 0.6103561586706712,0.003345513,0.039578049, 0.11904976071692454, 0.6748467613068078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.132
ALUKIC_clean,8.54387,6.77342,0.566919,4363.24,0.67272, 0.7025510896541997,0,0,0,0,0.070207702, 0.23550181092085568, 0.5311105704139466,0,0,0,0,0,0,0,0,0,0,0,0,0,6355.56
ALULAV_clean,8.53005,6.74275,0.590909,4199.8,0.6709, 0.7051734868858646,0,0,0,0,0.079353844, 0.26575180657219993, 0.49171443343139254,0,0,0,0,0,0,0,0,0,0,0,0,0,6290.14
ALULID_clean,7.81513,5.26932,0.929552,3372.83,0.4863,0.802984311,0.000309742,0.0006539,0.003372748, 0.029184595145479865, 0.14385802795767197, 0.46705676971616494, 0.19238430054626468,0,0,0,0,0,0,0,0,0,0,0,0,0,3876.16
AMAFOK_clean,6.62009,5.65586,1.49249,1556.53,0.22426, 0.6095430473892667, 0.010000347026967728,0,0.000223888,0.000970183, 0.6668141842235569, 0.15881148114468172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.81
AMALND_clean,3.72992,2.65794,1.87591,2410.5,0.25576, 0.27955698403180107,0.000654379, 0.014985283012447602,0.821180421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083.98
AMIKOX_clean,3.4717,2.70597,1.4673,2451.19,0.13456, 0.48337496984501366,0.049502734, 0.4013701560704283, 0.3859471937671334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479.63
AMILUE_clean,11.39418,11.07263,0.982365,2988.37,0.4306, 2.838552441169975,0.002798469, 0.027285076578948905, 0.010222186809492257, 0.10661391033626327,0.005441468,0.004858454,0.007345982, 0.012282171223572436, 0.044464569239768575, 0.6155077958749783,0,0,0,0,0,0,0,0,0,0,4728.39
AMIMEP_clean,11.21563,10.87494,0.985981,2953.31,0.42472, 2.7703163033452474,0.002443155, 0.026914113635091913, 0.012176370590400297, 0.10265192682198301,0.005201556,0.005359179,0.008787478, 0.013910222713305186,0.098002051, 0.5613740305205259,0,0,0,0,0,0,0,0,0,0,4711.05
AMIWOJ_clean,4.90585,3.36795,2.21508,1473.56,0.21576, 0.46575275143588163,0.008687787,0.005119589, 0.030096977425715557, 0.7929157300145984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068.07
